City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Caravelas,-17.7125,-39.2481,80.24,79,100,14.29,BR,1/30/2021
202,Haines Junction,60.7522,-137.5108,-11.2,64,100,1.41,CA,1/30/2021
203,São Filipe,14.8961,-24.4956,70.16,74,17,13.38,CV,1/30/2021
204,Nemuro,43.3236,145.575,26.6,86,75,2.3,JP,1/30/2021
205,Northam,51.0333,-4.2167,37.99,94,11,5.01,GB,1/30/2021
206,Lensk,60.7253,114.9278,-15.92,86,99,1.39,RU,1/30/2021
207,Cherskiy,68.75,161.3,-14.53,77,30,0.98,RU,1/30/2021
208,Vila,42.0304,-8.1588,44.01,91,100,8.5,PT,1/30/2021
209,Lerwick,60.1545,-1.1494,33.8,64,90,23.02,GB,1/30/2021
210,Dekar,-21.5333,21.9333,68.32,94,100,10.96,BW,1/30/2021
211,Bosobolo,4.1833,19.9,72.48,69,13,0.58,CD,1/30/2021
212,Nome,64.5011,-165.4064,15.8,86,90,24.16,US,1/30/2021
213,Torbay,47.6666,-52.7314,36,100,90,25.32,CA,1/30/2021
214,Benghazi,32.1167,20.0667,60.69,66,0,7.78,LY,1/30/2021
215,Sibolga,1.7427,98.7792,77.85,77,0,3.56,ID,1/30/2021
216,Goma,-1.6792,29.2228,64.35,79,100,3.4,CD,1/30/2021
217,Ranong,9.9658,98.6348,78.8,83,20,4.61,TH,1/30/2021
218,Sol'vychegodsk,61.3305,46.9156,-7.11,89,100,9.31,RU,1/30/2021
219,Russell,32.3502,-85.1999,50,43,90,3.44,US,1/30/2021
220,Bilma,18.6853,12.9164,61.41,30,0,7.85,NE,1/30/2021
221,Eureka,40.8021,-124.1637,54,89,37,10,US,1/30/2021
222,Ishigaki,24.3448,124.1572,69.8,78,20,1.14,JP,1/30/2021
223,Sobolevo,54.4299,31.8996,-0.2,93,50,8.23,RU,1/30/2021
